Time (years),Lake Huron,Lake Erie,Lake Ontario
50.899999999999245,14.424543045480966,6.346790876706852,95.96219173782924
50.94999999999924,14.34520805873082,6.311883627676274,95.500660823183
50.99999999999924,14.2663094144078,6.277168366701121,95.04127076354207
51.04999999999924,14.187844712628557,6.242644037879743,94.58401216956145
51.099999999999234,14.1098115667091,6.208309591117365,94.12887568922591
51.14999999999923,14.0322076030922,6.174163982094152,93.67585200773067
51.19999999999923,13.955030461275193,6.140206172233464,93.22493184736197
51.249999999999226,13.87827779373818,6.106435128670276,92.776105967378
51.29999999999922,13.80194726587262,6.07284982421977,92.3293651638898
51.34999999999922,13.726036555910321,6.039449237346114,91.88470026974242
51.39999999999922,13.650543354852815,6.0062323521313905,91.4421021543962
51.449999999999214,13.575465366401124,5.973198158244716,91.00156172380818
51.49999999999921,13.500800306885917,5.940345650911517,90.56306992031374
51.54999999999921,13.426545905198045,5.907673830882983,90.12661772250826
51.599999999999206,13.352699902719456,5.875181704405678,89.6921961451291
51.6499999999992,13.279260053254498,5.842868283191333,89.25979623893762
51.6999999999992,13.206224122961599,5.8107325843867885,88.82940909060144
51.7499999999992,13.13358989028531,5.778773630544115,88.4010258225768
51.799999999999194,13.06135514588874,5.74699044959089,87.97463759299113
51.84999999999919,12.989517692586352,5.715382074800642,87.55023559552582
51.89999999999919,12.918075345277128,5.6839475447634555,87.12781105929908
51.949999999999186,12.847025930878104,5.652685903356738,86.70735524874902
51.99999999999918,12.776367288258275,5.621596199716146,86.28885946351696
52.04999999999918,12.706097268172854,5.590677488206676,85.87231503833074
52.09999999999918,12.636213733197904,5.559928828393907,85.45771334288848
52.149999999999174,12.566714557665316,5.529349285015405,85.04504578174225
52.19999999999917,12.497597627598157,5.498937927952287,84.63430379418207
52.24999999999917,12.428860840646367,5.468693832200936,84.22547885412013
52.299999999999166,12.360502106022812,5.438616077844874,83.81856246997502
52.34999999999916,12.292519344439686,5.408703750026792,83.41354618455638
52.39999999999916,12.224910488045268,5.378955938920728,83.01042157494952
52.44999999999916,12.15767348036102,5.349371739704404,82.60918025240039
52.499999999999154,12.090806276219034,5.319950252531711,82.20981386220068
52.54999999999915,12.024306841699829,5.290690582505345,81.81231408357304
52.59999999999915,11.95817315407048,5.261591839649598,81.4166726295567
52.649999999999146,11.892403201723091,5.232653138883292,81.02288124689305
52.69999999999914,11.826994984113615,5.20387359999287,80.63093171591159
52.74999999999914,11.76194651170099,5.175252347605624,80.24081585041598
52.79999999999914,11.697255805886634,5.146788511163078,79.85252549757038
52.849999999999135,11.632920898954257,5.118481224894519,79.4660525377859
52.89999999999913,11.568939834010008,5.090329627790666,79.08138888460728
52.94999999999913,11.505310664922954,5.062332863577489,78.69852648459987
52.999999999999126,11.442031456265877,5.034490080690171,78.31745731723666
53.04999999999912,11.379100283256415,5.00680043224721,77.93817339478566
53.09999999999912,11.316515231698505,4.9792630760246706,77.5606667621974
53.14999999999912,11.254274397924164,4.951877174430568,77.18492949699267
53.199999999999115,11.192375888735581,4.924641894479401,76.81095370915045
53.24999999999911,11.130817821347536,4.897556407766817,76.43873154099617
53.29999999999911,11.069598323330125,4.870619890444426,76.06825516709
53.349999999999106,11.00871553255181,4.843831523194742,75.69951679411547
53.3999999999991,10.948167597122774,4.817190491206272,75.33250866076828
53.4499999999991,10.8879526753386,4.790695984148734,74.96722303764538
53.4999999999991,10.828068935624238,4.764347196148419,74.60365222713419
53.549999999999095,10.768514556478305,4.738143325763681,74.24178856330205
53.59999999999909,10.709287726417674,4.712083575960565,73.88162441178599
53.64999999999909,10.650386643922378,4.686167154088572,73.52315216968256
53.699999999999086,10.591809517380804,4.6603932718565515,73.16636426543806
53.74999999999908,10.53355456503521,4.634761145308728,72.81125315873885
53.79999999999908,10.475620014927516,4.609269994800864,72.45781134040197
53.84999999999908,10.418004104845416,4.58391904497655,72.10603133226599
53.899999999999075,10.360705082268765,4.558707524743622,71.75590568708196
53.94999999999907,10.303721204316288,4.533634667250715,71.40742698840485
53.99999999999907,10.247050737692549,4.508699709863942,71.06058785048494
54.049999999999066,10.19069195863524,4.4839018941437,70.71538091815958
54.09999999999906,10.134643152862745,4.459240465821607,70.37179886674521
54.14999999999906,10.078902615522,4.434714674777563,70.02983440192952
54.19999999999906,10.02346865113663,4.410323775016938,69.68948025966394
54.249999999999055,9.96833957355538,4.386067024647884,69.35072920605626
54.29999999999905,9.913513705900824,4.361943685858777,69.01357403726358
54.34999999999905,9.85898938051837,4.337953024895773,68.67800757938545
54.39999999999905,9.80476493892552,4.3140943120405,68.34402268835726
54.449999999999044,9.750838731761428,4.290366821587861,68.01161224984384
54.49999999999904,9.69720911873674,4.266769831823968,67.68076917913335
54.54999999999904,9.643874468583688,4.243302625004189,67.35148642103138
54.599999999999035,9.590833159006477,4.219964487331324,67.02375694975527
54.64999999999903,9.538083576631943,4.196754708933896,66.6975737688287
54.69999999999903,9.485624116960468,4.173672583844562,66.37292991097654
54.74999999999903,9.433453184317186,4.150717409978642,66.04981843801988
54.799999999999024,9.381569191803441,4.127888489112771,65.72823244077138
54.84999999999902,9.329970561248523,4.1051851268636605,65.40816503893078
54.89999999999902,9.278655723161656,4.082606632666981,65.08960938098073
54.949999999999015,9.227623116684267,4.060152319756365,64.77255864408285
54.99999999999901,9.176871189542503,4.037821505142514,64.45700603397397
55.04999999999901,9.126398398000019,4.015613509592432,64.14294478486269
55.09999999999901,9.07620320681102,3.9935276576087686,63.83036815932618
55.149999999999004,9.02628408917356,3.9715632774092713,63.519269448207176
55.199999999999,8.976639526683105,3.949719700906359,63.2096419705113
55.249999999999,8.927268009286347,3.9279962636868015,62.90147907330454
55.299999999998995,8.878168035235273,3.906392304991514,62.594774131611075
55.34999999999899,8.829338111041478,3.8849071676954607,62.28952054831126
55.39999999999899,8.78077675143075,3.8635401982876707,61.98571175403991
55.44999999999899,8.73248247929788,3.842290746851362,61.68334120708485
55.499999999998984,8.684453825661743,3.821158167044176,61.382402393285666
55.54999999999898,8.636689329620603,3.8001418160785203,61.08288882593275
55.59999999999898,8.58918753830769,3.77924105470202,60.784794045666565
55.649999999998975,8.541947006846998,3.758455247178076,60.488111620377204
55.69999999999897,8.49496629830934,3.7377837612665292,60.19283514510415
55.74999999999897,8.448243983668638,3.717225968204433,59.89895824193632
55.79999999999897,8.40177864175846,3.6967812426869306,59.606474559912385
55.849999999998964,8.355568859228788,3.6764489628482373,59.315377774921274
55.89999999999896,8.309613230503029,3.656228510242727,59.02566158960301
55.94999999999896,8.263910357735263,3.636119269826125,58.73731973324976
55.999999999998956,8.21845885076772,3.6161206299367987,58.450345961707136
56.04999999999895,8.173257327088496,3.5962319822771587,58.16473405727576
56.09999999999895,8.12830441178951,3.5764527218951567,57.880477828613095
56.14999999999895,8.083598737524667,3.556782247165886,57.59757111063553
56.199999999998944,8.039138944468283,3.5372199597732856,57.3160077644207
56.24999999999894,7.994923680273707,3.517765264691942,57.0357816771101
56.29999999999894,7.950951600032202,3.4984175701689924,56.7568867618119
56.349999999998936,7.907221366232024,3.4791762877061276,56.47931695750407
56.39999999999893,7.8637316487177475,3.4600408320416935,56.20306622893775
56.44999999999893,7.8204811246498,3.441010621132891,55.92812856654088
56.49999999999893,7.777468478464226,3.422085076138073,55.65449798632203
56.549999999998924,7.734692401832673,3.4032636213991405,55.38216852977458
56.59999999999892,7.692151593622593,3.384545684424036,55.11113426378112
56.64999999999892,7.649844759857668,3.3659306958693276,54.841389280518065
56.699999999998916,7.607770613678451,3.347418089522897,54.572927697360605
56.74999999999891,7.5659278753032195,3.3290073022867164,54.305743656787854
56.79999999999891,7.524315271989052,3.310697774159723,54.03983132628829
56.84999999999891,7.482931537993112,3.292488948220788,53.77518489826543
56.899999999998904,7.44177541453415,3.274380270611776,53.51179858994381
56.9499999999989,7.400845649754212,3.256371190520702,53.249666643275155
56.9999999999989,7.3601409986805635,3.2384611601649773,52.988783324844874
57.049999999998896,7.31966022318782,3.220649634774751,52.729142925778774
57.09999999999889,7.279402091960287,3.2029360725763385,52.470739761650044
57.14999999999889,7.2393653804545055,3.185319934775746,52.213568172386516
57.19999999999889,7.199548870862006,3.1678006855422822,51.95762252217816
57.249999999998884,7.159951352072265,3.150377791992262,51.70289719938486
57.29999999999888,7.120571619635868,3.133050724172799,51.44938661644441
57.34999999999888,7.081408475727871,3.1158189550456856,51.19708520978085
57.399999999998876,7.042460729111368,3.0986819604713665,50.94598743971299
57.44999999999887,7.003727195101256,3.0816392191929944,50.696087790363194
57.49999999999887,6.965206695528199,3.0646902128205773,50.447380769566486
57.54999999999887,6.926898058702793,3.047834425815212,50.199860908779854
57.599999999998865,6.888800119379928,3.0310713454734035,49.95352276299185
57.64999999999886,6.850911718723339,3.014400461911472,49.70836091063242
57.69999999999886,6.81323170427036,2.997821268050044,49.464369953483036
57.749999999998856,6.775758929896873,2.9813332595986304,49.22154451658704
57.79999999999885,6.7384922557824405,2.964935935040288,48.97987924816029
57.84999999999885,6.701430548375637,2.9486287956163664,48.73936881950205
57.89999999999885,6.664572680359571,2.932411345311338,48.50000792490613
57.949999999998845,6.6279175306175935,2.9162830908377115,48.26179128157229
57.99999999999884,6.591463984199197,2.9002435416210295,48.02471362951794
58.04999999999884,6.555210932286101,2.8842922097849466,47.788769731490014
58.099999999998836,6.519157272158528,2.868428610136391,47.5539543728772
58.14999999999883,6.483301907161656,2.852652260150808,47.32026236162239
58.19999999999883,6.4476437466722665,2.8369626799574825,47.087688528135374
58.24999999999883,6.412181706065569,2.821359392324945,46.8562277252058
58.299999999998825,6.376914706682208,2.8058419226464566,46.62587482791641
58.34999999999882,6.341841675795456,2.7904097989255727,46.39662473355655
58.39999999999882,6.306961546578581,2.7750625517617875,46.16847236153587
58.449999999998816,6.272273258072398,2.7597997143362574,45.941412653298364
58.49999999999881,6.237775755153,2.7446208223976027,45.71544057223662
58.54999999999881,6.203467988499658,2.7295254142477874,45.49055110360636
58.59999999999881,6.16934891456291,2.7145130307280754,45.26673925444118
